Плотность воздуха в зависимости от температуры — таблица							
t. °С	ρ. кг/м3
-50	1.584
-45	1.549
-40	1.515
-35	1.484
-30	1.453
-25	1.424
-20	1.395
-15	1.369
-10	1.342
-5	1.318
0	1.293
10	1.247
15	1.226
20	1.205
30	1.165
40	1.128
50	1.093
60	1.06
70	1.029
80	1
90	0.972
100	0.946
110	0.922
120	0.898
130	0.876
140	0.854
150	0.835
160	0.815
170	0.797
180	0.779
190	0.763
200	0.746
250	0.674
300	0.615
350	0.566
400	0.524
450	0.49
500	0.456
550	0.43
600	0.404
650	0.383
700	0.362
750	0.346
800	0.329
850	0.315
900	0.301
950	0.289
1000	0.277
1050	0.267
1100	0.257
1150	0.248
1200	0.239

