Температуропроводность атмосферного воздуха — таблица
t. °С	а. м2/с
-50	0.0000127
-40	0.0000138
-30	0.0000149
-20	0.0000162
-10	0.0000174
0	0.0000188
10	0.000020
20	0.0000214
30	0.0000229
40	0.0000243
50	0.0000257
60	0.0000272
70	0.0000286
80	0.0000302
90	0.0000319
100	0.0000336
110	0.0000352
120	0.0000368
130	0.0000386
140	0.0000403
150	0.0000421
160	0.0000439
170	0.0000457
180	0.0000475
190	0.0000495
200	0.0000514
250	0.000061
300	0.0000716
350	0.0000819
400	0.0000931
450	0.0001042
500	0.0001153
550	0.0001268
600	0.0001383
650	0.0001509
700	0.0001634
750	0.0001761
800	0.0001888
850	0.0002025
900	0.0002162
950	0.0002311
1000	0.0002459
1100	0.0002762
1200	0.0003165
