Динамическая  вязкость воздуха (в таблице даны значения вязкости. увеличенные в 106 раз)								
t. °С	μ Па·с
-50	0.0000146
-40	0.0000152
-30	0.0000157
-20	0.0000162
-10	0.0000167
0	0.0000172
10	0.0000176
20	0.0000181
30	0.0000186
40	0.0000191
50	0.0000196
60	0.0000201
70	0.0000206
80	0.0000211
90	0.0000215
100	0.0000219
110	0.0000224
120	0.0000228
130	0.0000233
140	0.0000237
150	0.0000241
160	0.0000245
170	0.0000249
180	0.0000253
190	0.0000257
200	0.000026
225	0.0000267
250	0.0000274
300	0.0000297
325	0.0000306
350	0.0000314
400	0.000033
450	0.0000346
500	0.0000362
550	0.0000377
600	0.0000391
650	0.0000405
700	0.0000418
750	0.0000431
800	0.0000443
850	0.0000455
900	0.0000467
950	0.0000479
1000	0.000049
1050	0.0000501
1100	0.0000512
1150	0.0000524
1200	0.0000535
