Кинематическая  вязкость воздуха (в таблице даны значения вязкости. увеличенные в 106 раз)								
t. °С	ν. м2/с							
-50	0.00000923
-40	0.00001004
-30	0.0000108
-20	0.00001161
-10	0.00001243
0	0.00001328
10	0.00001416
20	0.00001506
30	0.000016
40	0.00001696
50	0.00001795
60	0.00001897
70	0.00002002
80	0.00002109
90	0.0000221
100	0.00002313
110	0.0000243
120	0.00002545
130	0.00002663
140	0.0000278
150	0.00002895
160	0.00003009
170	0.00003129
180	0.00003249
190	0.00003367
200	0.00003485
225	0.00003773
250	0.00004061
300	0.00004833
325	0.0000519
350	0.00005546
400	0.00006309
450	0.00006928
500	0.00007938
550	0.00008814
600	0.00009689
650	0.00010615
700	0.0001154
750	0.0001251
800	0.0001348
850	0.000145
900	0.0001551
950	0.0001661
1000	0.0001771
1050	0.0001882
1100	0.0001993
1150	0.0002165
1200	0.0002337
