Теплопроводность воздуха в зависимости от температуры — таблица
t. °С	λ. Вт/(м·град)	
-183	0.0084
-173	0.0093
-163	0.0102
-153	0.0111
-143	0.012
-133	0.0129
-123	0.0138
-113	0.0147
-103	0.0155
-93	0.0164
-83	0.0172
-73	0.018
-50	0.0204
-40	0.0212
-30	0.022
-20	0.0228
-10	0.0236
0	0.0244
10	0.0251
20	0.0259
30	0.0267
40	0.0276
50	0.0283
60	0.029
70	0.0296
80	0.0305
90	0.0313
100	0.0321
110	0.0328
120	0.0334
130	0.0342
140	0.0349
150	0.0357
160	0.0364
170	0.0371
180	0.0378
190	0.0386
200	0.0393
250	0.0427
300	0.046
350	0.0491
400	0.0521
450	0.0548
500	0.0574
550	0.0598
600	0.0622
650	0.0647
700	0.0671
750	0.0695
800	0.0718
850	0.0741
900	0.0763
950	0.0785
1000	0.0807
1100	0.085
1200	0.0915
